InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Total Sum
557129,85099C,JUMBO  BAG BAROQUE BLACK WHITE,4,2011-06-16 19:59:00,2.08,17841,United Kingdom,8.32
561473,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2011-07-27 13:17:00,2.1,15078,United Kingdom,25.200000000000003
550515,22515,CHILDS GARDEN SPADE PINK,2,2011-04-18 17:29:00,2.1,14502,United Kingdom,4.2
578924,22992,REVOLVER WOODEN RULER ,4,2011-11-27 12:10:00,1.95,16983,United Kingdom,7.8
554906,23284,DOORMAT KEEP CALM AND COME IN,10,2011-05-27 11:41:00,6.75,14194,United Kingdom,67.5
556918,21137,BLACK RECORD COVER FRAME,192,2011-06-15 13:37:00,3.39,12415,Australia,650.88
581445,22216,T-LIGHT HOLDER WHITE LACE,24,2011-12-08 17:12:00,0.29,17405,United Kingdom,6.959999999999999
544105,21231,SWEETHEART CERAMIC TRINKET BOX,12,2011-02-16 10:38:00,1.25,17567,United Kingdom,15.0
571036,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,2011-10-13 12:52:00,0.29,17567,United Kingdom,6.959999999999999
574297,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-11-03 15:54:00,0.65,16602,United Kingdom,10.4
572283,23542,WALL ART 70'S ALPHABET ,1,2011-10-23 11:42:00,8.25,15000,United Kingdom,8.25
542107,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-01-25 13:38:00,0.55,16222,United Kingdom,0.55
553374,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-05-16 14:51:00,0.85,14489,United Kingdom,8.5
555853,22469,HEART OF WICKER SMALL,2,2011-06-07 13:44:00,1.65,14375,United Kingdom,3.3
556578,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-06-13 14:13:00,4.15,12472,Germany,16.6
567369,23230,WRAP ALPHABET DESIGN,25,2011-09-20 09:06:00,0.42,17527,United Kingdom,10.5
555943,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-06-08 10:15:00,1.65,13520,Switzerland,19.799999999999997
577110,22154,ANGEL DECORATION 3 BUTTONS ,48,2011-11-17 17:53:00,0.42,14234,United Kingdom,20.16
577860,22025,RING OF ROSES BIRTHDAY CARD,12,2011-11-22 11:25:00,0.42,16655,United Kingdom,5.04
579196,23096,PETIT TRAY CHIC,1,2011-11-28 15:54:00,3.29,14096,United Kingdom,3.29
575222,21916,SET 12 RETRO WHITE CHALK STICKS,5,2011-11-09 11:33:00,0.42,16880,United Kingdom,2.1
560696,18098C,PORCELAIN BUTTERFLY OIL BURNER,2,2011-07-20 12:14:00,2.95,14606,United Kingdom,5.9
580160,22561,WOODEN SCHOOL COLOURING SET,12,2011-12-02 10:47:00,1.65,12700,France,19.799999999999997
581414,22703,PINK CAT BOWL,1,2011-12-08 14:39:00,0.59,14730,United Kingdom,0.59
575868,21439,BASKET OF TOADSTOOLS,12,2011-11-11 12:44:00,1.25,12985,United Kingdom,15.0
579741,85032A,ROMANTIC IMAGES GIFT WRAP SET,1,2011-11-30 14:33:00,0.65,16910,United Kingdom,0.65
541406,47559B,TEA TIME OVEN GLOVE,2,2011-01-17 15:19:00,1.25,14657,United Kingdom,2.5
563692,21485,RETROSPOT HEART HOT WATER BOTTLE,2,2011-08-18 13:01:00,4.95,17243,United Kingdom,9.9
573552,23083,SET 6 PAPER TABLE LANTERN STARS ,6,2011-10-31 13:43:00,3.75,13203,United Kingdom,22.5
569136,23394,POSTE FRANCE CUSHION COVER,2,2011-09-30 14:41:00,3.75,15834,United Kingdom,7.5
571183,15056BL,EDWARDIAN PARASOL BLACK,7,2011-10-14 11:08:00,5.95,14796,United Kingdom,41.65
566123,23412,HEART MIRROR ANTIQUE WHITE,1,2011-09-09 11:15:00,7.5,15039,United Kingdom,7.5
551332,23051,RECYCLED ACAPULCO MAT BLUE,2,2011-04-27 16:23:00,8.25,13078,United Kingdom,16.5
580750,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-12-06 09:56:00,1.25,12749,United Kingdom,15.0
548864,22858,EASTER TIN KEEPSAKE,1,2011-04-04 14:00:00,1.65,15756,United Kingdom,1.65
544445,22980,PANTRY SCRUBBING BRUSH,3,2011-02-20 10:56:00,1.65,16746,United Kingdom,4.949999999999999
565648,23100,SILVER BELLS TABLE DECORATION,2,2011-09-05 16:22:00,1.25,18196,United Kingdom,2.5
575129,23112,PARISIENNE CURIO CABINET,2,2011-11-08 14:30:00,7.5,13110,United Kingdom,15.0
550408,23207,LUNCH BAG ALPHABET DESIGN,10,2011-04-18 11:59:00,1.65,16746,United Kingdom,16.5
566622,22990,COTTON APRON PANTRY DESIGN,2,2011-09-14 09:27:00,4.95,13860,United Kingdom,9.9
537849,22147,FELTCRAFT BUTTERFLY HEARTS,60,2010-12-08 15:35:00,1.25,13777,United Kingdom,75.0
540278,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,2,2011-01-06 12:31:00,2.95,15719,United Kingdom,5.9
559903,22757,LARGE RED BABUSHKA NOTEBOOK ,12,2011-07-13 13:16:00,1.25,12935,United Kingdom,15.0
579470,23322,LARGE WHITE HEART OF WICKER,2,2011-11-29 15:06:00,2.95,16549,United Kingdom,5.9
543664,22727,ALARM CLOCK BAKELIKE RED ,4,2011-02-11 10:57:00,3.75,17705,United Kingdom,15.0
545797,85150,LADIES & GENTLEMEN METAL SIGN,1,2011-03-07 12:17:00,2.55,16225,United Kingdom,2.55
553702,79026B,"S/4 ICON COASTER,ELVIS LIVES",1,2011-05-18 14:50:00,0.39,13263,United Kingdom,0.39
577083,22994,TRAVEL CARD WALLET RETROSPOT,24,2011-11-17 15:34:00,0.42,15287,United Kingdom,10.08
572308,21592,RETROSPOT CIGAR BOX MATCHES ,1,2011-10-23 15:27:00,1.25,12748,United Kingdom,1.25
542231,22960,JAM MAKING SET WITH JARS,2,2011-01-26 13:40:00,4.25,16714,United Kingdom,8.5
578109,23013,GLASS APOTHECARY BOTTLE TONIC,4,2011-11-23 09:22:00,3.95,14020,United Kingdom,15.8
580615,23128,FELTCRAFT BOY JEAN-PAUL KIT,8,2011-12-05 12:05:00,4.95,16873,United Kingdom,39.6
570791,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,2011-10-12 11:58:00,3.75,17346,United Kingdom,3.75
576558,21889,WOODEN BOX OF DOMINOES,12,2011-11-15 13:07:00,1.25,17086,United Kingdom,15.0
568242,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,12,2011-09-26 12:11:00,0.85,14931,Channel Islands,10.2
549222,22371,AIRLINE BAG VINTAGE TOKYO 78,4,2011-04-07 10:43:00,4.25,12347,Iceland,17.0
568528,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,2011-09-27 13:32:00,1.25,13979,United Kingdom,15.0
551717,22697,GREEN REGENCY TEACUP AND SAUCER,1,2011-05-03 15:59:00,2.95,13263,United Kingdom,2.95
560930,21992,VINTAGE PAISLEY STATIONERY SET,12,2011-07-22 10:23:00,1.25,15829,United Kingdom,15.0
564186,23306,SET OF 36 DOILIES PANTRY DESIGN,12,2011-08-23 15:20:00,1.45,15755,United Kingdom,17.4
563430,22188,BLACK HEART CARD HOLDER,4,2011-08-16 11:50:00,3.95,14918,United Kingdom,15.8
543478,21175,GIN + TONIC DIET METAL SIGN,48,2011-02-08 15:38:00,2.08,13798,United Kingdom,99.84
548918,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,2011-04-05 10:13:00,1.45,16105,United Kingdom,69.6
560989,23198,PANTRY MAGNETIC  SHOPPING LIST,12,2011-07-22 13:20:00,1.45,15704,United Kingdom,17.4
575576,22974,CHILDRENS DOLLY GIRL MUG,12,2011-11-10 11:45:00,1.65,16025,United Kingdom,19.799999999999997
572743,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,2011-10-25 16:13:00,0.29,14482,United Kingdom,6.959999999999999
550162,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,2011-04-14 16:23:00,2.25,12569,Germany,13.5
578118,22560,TRADITIONAL MODELLING CLAY,24,2011-11-23 10:08:00,1.25,12955,United Kingdom,30.0
552285,22493,PAINT YOUR OWN CANVAS SET,1,2011-05-08 12:58:00,1.65,14684,United Kingdom,1.65
572317,23569,TRADTIONAL ALPHABET STAMP SET,1,2011-10-23 16:13:00,4.95,14629,United Kingdom,4.95
540163,22030,SWALLOWS GREETING CARD,12,2011-01-05 11:52:00,0.42,13089,United Kingdom,5.04
556125,47566,PARTY BUNTING,12,2011-06-09 10:20:00,4.95,12947,United Kingdom,59.400000000000006
580611,22908,PACK OF 20 NAPKINS RED APPLES,1,2011-12-05 11:49:00,0.85,12748,United Kingdom,0.85
559301,21136,PAINTED METAL PEARS ASSORTED,8,2011-07-07 12:41:00,1.69,13842,United Kingdom,13.52
554839,22730,ALARM CLOCK BAKELIKE IVORY,1,2011-05-26 17:15:00,3.75,14056,United Kingdom,3.75
574321,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2011-11-03 19:28:00,2.95,16016,United Kingdom,2.95
581099,21012,ANTIQUE ALL GLASS CANDLESTICK,12,2011-12-07 11:43:00,2.1,18219,United Kingdom,25.200000000000003
553678,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-05-18 13:00:00,0.55,14009,United Kingdom,13.200000000000001
568662,21733,RED HANGING HEART T-LIGHT HOLDER,4,2011-09-28 12:36:00,2.95,16764,United Kingdom,11.8
536974,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2010-12-03 13:59:00,1.25,12682,France,15.0
562524,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,2011-08-05 13:28:00,5.45,15201,United Kingdom,16.35
576626,23570,TRADITIONAL PICK UP STICKS GAME ,3,2011-11-15 17:26:00,1.25,12890,United Kingdom,3.75
577536,22600,CHRISTMAS RETROSPOT STAR WOOD,2,2011-11-20 14:14:00,0.85,15850,United Kingdom,1.7
578664,23571,TRADITIONAL NAUGHTS & CROSSES,2,2011-11-24 16:59:00,1.65,15910,United Kingdom,3.3
536396,71053,WHITE METAL LANTERN,6,2010-12-01 10:51:00,3.39,17850,United Kingdom,20.34
552294,47566,PARTY BUNTING,5,2011-05-08 14:06:00,4.95,16232,United Kingdom,24.75
575713,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2011-11-10 17:49:00,4.25,13817,Germany,17.0
580513,21264,WHITE GOOSE FEATHER TREE 60CM ,2,2011-12-04 13:59:00,1.95,14456,United Kingdom,3.9
547093,21935,SUKI  SHOULDER BAG,10,2011-03-21 08:20:00,1.65,14762,United Kingdom,16.5
575183,23219,LAUREL STAR ANTIQUE SILVER ,12,2011-11-09 08:36:00,1.25,13046,United Kingdom,15.0
570791,23247,BISCUIT TIN 50'S CHRISTMAS,1,2011-10-12 11:58:00,2.89,17346,United Kingdom,2.89
545474,22729,ALARM CLOCK BAKELIKE ORANGE,4,2011-03-03 10:55:00,3.75,16709,United Kingdom,15.0
568653,21086,SET/6 RED SPOTTY PAPER CUPS,216,2011-09-28 12:16:00,0.53,13798,United Kingdom,114.48
547360,21907,I'M ON HOLIDAY METAL SIGN,12,2011-03-22 12:30:00,2.1,16135,United Kingdom,25.200000000000003
568987,22192,BLUE DINER WALL CLOCK,6,2011-09-29 15:58:00,8.5,12709,Germany,51.0
560300,21292,SMALL STRIPES CHOCOLATE GIFT BAG ,16,2011-07-18 10:29:00,0.85,14911,EIRE,13.6
577396,23301,GARDENERS KNEELING PAD KEEP CALM ,12,2011-11-18 17:11:00,1.65,17621,United Kingdom,19.799999999999997
554000,16161G,WRAP BAD HAIR DAY,25,2011-05-20 11:53:00,0.1,14794,United Kingdom,2.5
557325,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,96,2011-06-20 09:44:00,1.06,15291,United Kingdom,101.76
575943,20698,LITTLE PINK MONSTER SOFT TOY,2,2011-11-13 11:44:00,2.55,17920,United Kingdom,5.1
